frame_id,offset,source,mask_iou,bbox_iou,image
30,10,lk_raw,0.659249,0.687820,frame_0030_offset_10.png
31,11,lk_raw,0.698813,0.840909,frame_0031_offset_11.png
32,12,lk_raw,0.656695,0.720946,frame_0032_offset_12.png
33,13,lk_raw,0.670134,0.750181,frame_0033_offset_13.png
34,14,lk_raw,0.670659,0.759119,frame_0034_offset_14.png
35,15,lk_raw,0.635447,0.712635,frame_0035_offset_15.png
36,16,lk_raw,0.650888,0.772120,frame_0036_offset_16.png
37,17,lk_raw,0.604396,0.609471,frame_0037_offset_17.png
38,18,lk_raw,0.572034,0.600000,frame_0038_offset_18.png
39,19,lk_raw,0.578717,0.638396,frame_0039_offset_19.png
40,0,anchor,1.000000,1.000000,frame_0040_offset_0.png
41,1,lk_raw,0.798712,0.713043,frame_0041_offset_1.png
42,2,lk_raw,0.827181,0.914773,frame_0042_offset_2.png
43,3,lk_raw,0.808374,0.776046,frame_0043_offset_3.png
44,4,lk_raw,0.809446,0.856736,frame_0044_offset_4.png
45,5,lk_raw,0.790221,0.775168,frame_0045_offset_5.png
46,6,lk_raw,0.768778,0.798617,frame_0046_offset_6.png
47,7,lk_raw,0.784038,0.855924,frame_0047_offset_7.png
48,8,lk_raw,0.796238,0.861210,frame_0048_offset_8.png
49,9,lk_raw,0.808050,0.843206,frame_0049_offset_9.png
50,10,lk_raw,0.809672,0.878472,frame_0050_offset_10.png
51,11,lk_raw,0.810241,0.843271,frame_0051_offset_11.png
52,12,lk_raw,0.774240,0.795385,frame_0052_offset_12.png
53,13,lk_raw,0.727891,0.697706,frame_0053_offset_13.png
54,14,lk_raw,0.758333,0.737705,frame_0054_offset_14.png
55,15,lk_raw,0.693824,0.692632,frame_0055_offset_15.png
56,16,lk_raw,0.689933,0.759231,frame_0056_offset_16.png
57,17,lk_raw,0.684810,0.679752,frame_0057_offset_17.png
58,18,lk_raw,0.627182,0.714854,frame_0058_offset_18.png
59,19,lk_raw,0.663252,0.684439,frame_0059_offset_19.png
60,0,anchor,1.000000,1.000000,frame_0060_offset_0.png
61,1,lk_raw,0.880389,0.877968,frame_0061_offset_1.png
62,2,lk_raw,0.802436,0.738854,frame_0062_offset_2.png
63,3,lk_raw,0.797927,0.808945,frame_0063_offset_3.png
64,4,lk_raw,0.772440,0.825779,frame_0064_offset_4.png
65,5,lk_raw,0.751843,0.818697,frame_0065_offset_5.png
66,6,lk_raw,0.738407,0.844298,frame_0066_offset_6.png
67,7,lk_raw,0.727494,0.717088,frame_0067_offset_7.png
68,8,lk_raw,0.741359,0.818182,frame_0068_offset_8.png
69,9,lk_raw,0.686600,0.690467,frame_0069_offset_9.png
70,10,lk_raw,0.729070,0.768417,frame_0070_offset_10.png
71,11,lk_raw,0.668455,0.802189,frame_0071_offset_11.png
72,12,lk_raw,0.723558,0.846682,frame_0072_offset_12.png
73,13,lk_raw,0.726744,0.836072,frame_0073_offset_13.png
74,14,lk_raw,0.693169,0.808989,frame_0074_offset_14.png
75,15,lk_raw,0.679054,0.770860,frame_0075_offset_15.png
76,16,lk_raw,0.667025,0.808824,frame_0076_offset_16.png
77,17,lk_raw,0.670639,0.695724,frame_0077_offset_17.png
78,18,lk_raw,0.630297,0.831461,frame_0078_offset_18.png
79,19,lk_raw,0.661638,0.809871,frame_0079_offset_19.png
80,0,anchor,1.000000,1.000000,frame_0080_offset_0.png
81,1,lk_raw,0.791667,0.868852,frame_0081_offset_1.png
82,2,lk_raw,0.787068,0.831948,frame_0082_offset_2.png
83,3,lk_raw,0.771872,0.827586,frame_0083_offset_3.png
84,4,lk_raw,0.733471,0.843750,frame_0084_offset_4.png
85,5,lk_raw,0.729399,0.770485,frame_0085_offset_5.png
